gesture,sample_id,timestamp,aX,aY,aZ,gX,gY,gZ,temp
idle,1767714402980,5505,0.078,0.007,0.927,18.626,3.176,0.573,23.31
idle,1767714402980,5521,0.081,0.010,0.927,18.405,3.046,0.634,23.26
idle,1767714402980,5536,0.073,0.010,0.927,18.550,2.931,0.580,23.35
idle,1767714402980,5552,0.077,0.012,0.920,18.527,3.061,0.794,23.31
idle,1767714402980,5567,0.077,0.011,0.919,18.595,2.992,0.382,23.35
idle,1767714402980,5582,0.074,0.008,0.925,18.687,2.939,0.664,23.35
idle,1767714402980,5598,0.071,0.007,0.922,18.443,2.939,0.550,23.31
idle,1767714402980,5614,0.077,0.008,0.929,18.473,3.015,0.511,23.21
idle,1767714402980,5629,0.070,0.012,0.932,18.679,2.802,0.695,23.26
idle,1767714402980,5645,0.078,-0.000,0.928,18.489,3.130,0.611,23.26
idle,1767714402980,5660,0.076,0.017,0.927,18.565,3.046,0.557,23.31
idle,1767714402980,5676,0.075,0.012,0.924,18.481,3.145,0.595,23.35
idle,1767714402980,5692,0.073,0.009,0.929,18.504,3.038,0.832,23.35
